Name,ISIN,DsId,DS
Lyxor DAX (DR) UCITS ETF (EUR) | DAX,LU0252633754,0P00006PZ4,morningstar.be/be/etf
Henderson Horizon Fund - Pan European Equity ,LU0138821268,f0gbr04nwx,morningstar.be/fr/fund
Templeton Global Bond A EUR (C),LU0152980495,f0gbr04o50,morningstar.be/fr/fund
BlackRock Global Funds - Global Allocation Fund A2 EUR Hedged,LU0212925753,f0gbr05zos,morningstar.be/fr/fund
UBS Euro High Yield,LU0086177085,F0GBR04AKY,morningstar.be/fr/fund
Blue Bay Emerging Market Bond,LU0356218064,F000002NG4,morningstar.be/fr/fund
Henderson Global Technology,LU0070992663,F0GBR04E8V,morningstar.be/fr/fund
Henderson Horizon Fund - Global Property,LU0828244219,F00000OS39,morningstar.be/fr/fund
BlackRock Global Funds - World Mining A2,LU0075056555,F0GBR04ARJ,morningstar.be/fr/fund
H2O MLTBD FCP-R-FD,FR0010923375,F00000JQYQ,morningstar.be/fr/fund
H2O MLTEQ FCP-RC-FD,FR0011008762,F00000MIEA,morningstar.be/fr/fund
H2O Vivace R,FR0011015478,F00000M91R,morningstar.be/fr/fund
H2O Multistrategies R,FR0010923383,F00000JQYK,morningstar.be/fr/fund
H2O Allegro R,FR0011015460,F00000M91N,morningstar.be/fr/fund
ABERDEEN GL SEL EM CORP BD-A2 HDG ,LU0376989207,F00000JRM0,morningstar.be/fr/fund
CARMIGNAC PATRIMOINE-FD,FR0010135103,f0gbr04f90,morningstar.be/fr/fund
DNCA FIN EUROSE-C-FD,FR0007051040,F0GBR04FTK,morningstar.be/fr/fund
DWS CONCEPT KALDEMORGEN-LC-FD,LU0599946893,F00000MEJL,morningstar.be/fr/fund
MW GAVEKAL ASIAN OPP-A-FD,IE00B0MTTV84,F000005QB5,morningstarfunds.ie/ie/fund
R VALOR-C-EUR-FD,FR0011253624,F0GBR06756,morningstar.be/fr/fund
CAPITAL HLDG TCH-B-EUR-FD,IE00BN575Z63,F0GBR0547F,morningstar.nl/nl/fund
AGIF EUROP EQ GRW-IT-EUR-FD,LU0256881128,F0000000K6,morningstar.be/fr/fund
COMGEST GRW EUROP FD,IE0004766675,F0GBR04M0B,morningstar.be/fr/fund
ISHARES EUR TOT MKT VAL LARGE ETF,IE00B0M62T89,0P0000M7TV,morningstar.be/be/etf
LYXOR UC ESTX50-D-EUR-ETF/DIS,FR0007054358,,
ABERDEEN GL JAP EQ-A2-FD,LU0011963674,F0GBR04AX2,morningstar.be/fr/fund
ABERDEEN GL EM MKT EQ-A2-FD,LU0132412106,F0GBR04AWV,morningstar.be/fr/fund
COUPLAND CARD ASIAN EVOL-A-FD/DIS,IE00B5B3NW58,F00000M9O0,morningstarfunds.ie/ie/fund
MS INV US GRW-A-USD-FD,LU0073232471,F0GBR04BG3,morningstar.be/fr/fund
SPDR S&P500-S1-ETF/DIS,US78462F1030,0P00002D7X,morningstar.fr/fr/etf
WELLS FARG(L)WW US AC GRW-I-USD-FD,LU0353189763,F000001ZSD,morningstar.be/fr/fund
NVESCO ASIA CONS DDE-A-USD-FD,LU0334857355,f000000r1d,morningstar.be/fr/fund
ETFS CMDTY SEC LTD BRENT CRUDE/EUR,DE000A1N49P6,,
BlackRock Strategic Fund European Absolute Return A2,LU0411704413,f000002m3n,morningstar.be/fr
r Euro Stoxx 50 (DR) UCITS ETF D-EUR (EUR),,,
